,precio,hab,baño,aseo,superficie,fecha_constr,planta,lavadero,trastero,terraza,calefaccion,parking,acc,ascensor,reforma
626,485000,4,2.0,0.0,115,1936.0,4.0,0,0,0.0,1,0,1,0,1
628,1200000,10,3.0,0.0,310,1920.0,2.0,0,0,0.0,0,0,0,1,1
629,430000,3,2.0,0.0,101,1972.0,1.0,0,0,10.0,1,0,1,1,0
631,1530000,3,4.0,0.0,199,2018.0,3.0,0,0,0.0,1,0,0,1,1
632,425000,3,2.0,0.0,76,1973.0,4.0,0,0,0.0,1,0,0,1,1
636,1400000,3,3.0,0.0,152,1999.0,1.0,1,0,24.0,1,0,1,1,0
638,850000,4,2.0,0.0,104,2002.0,5.0,0,0,0.0,1,0,1,1,0
649,375000,3,2.0,0.0,85,1973.0,4.0,0,0,0.0,1,0,0,1,1
650,375000,3,1.0,1.0,85,1973.0,5.0,0,0,0.0,1,0,0,1,1
652,375000,3,2.0,0.0,85,1973.0,4.0,0,0,0.0,1,0,1,1,1
653,450000,2,1.0,0.0,130,1954.0,1.0,0,0,0.0,0,0,0,1,1
654,1060000,6,3.0,1.0,337,1930.0,3.0,1,0,0.0,1,0,0,0,1
655,375000,3,2.0,0.0,85,1973.0,4.0,0,0,0.0,1,0,0,1,1
656,375000,3,2.0,0.0,85,1973.0,4.0,0,0,0.0,1,0,0,1,1
658,375000,3,2.0,0.0,85,1973.0,4.0,0,0,0.0,1,0,0,1,1
660,1410000,6,2.0,1.0,180,1900.0,1.0,1,0,0.0,1,0,0,1,1
661,445000,3,1.0,0.0,104,1890.0,2.0,0,0,2.0,1,0,0,1,1
663,375000,3,2.0,0.0,85,1973.0,4.0,0,0,0.0,1,0,0,1,1
664,375000,3,2.0,0.0,85,1973.0,4.0,0,0,0.0,1,0,0,1,1
666,1600000,3,3.0,0.0,162,1900.0,4.0,0,0,4.0,1,0,1,1,1
668,850000,2,2.0,0.0,154,1900.0,1.0,1,0,0.0,1,0,1,1,1
671,450000,2,2.0,0.0,130,1954.0,1.0,0,0,0.0,1,0,1,1,1
674,380000,3,1.0,0.0,74,1969.0,4.0,0,0,0.0,0,0,0,1,1
677,900000,4,4.0,0.0,222,1945.0,2.0,1,0,15.0,1,0,1,1,0
679,978000,10,2.0,0.0,262,1918.0,3.0,0,0,0.0,1,0,0,1,0
680,430000,3,2.0,0.0,101,1972.0,1.0,0,0,6.0,1,0,0,1,0
681,949000,5,2.0,0.0,283,1945.0,3.0,0,1,0.0,1,0,0,1,0
682,1975000,4,3.0,0.0,225,1930.0,3.0,0,0,3.0,1,0,1,1,1
687,750000,2,2.0,0.0,68,1887.0,5.0,0,0,0.0,1,0,1,1,1
688,990000,5,1.0,1.0,197,1936.0,1.0,0,1,8.0,1,0,1,1,1
689,450000,2,1.0,0.0,130,1954.0,2.0,0,0,0.0,1,0,1,1,1
691,745000,4,3.0,0.0,135,1926.0,2.0,0,0,0.0,1,0,1,1,1
692,430000,3,2.0,0.0,101,1972.0,1.0,1,0,3.0,1,0,0,1,0
694,1280000,3,2.0,0.0,146,1946.0,1.0,0,0,0.0,1,0,0,0,1
696,1000000,2,2.0,0.0,121,2005.0,1.0,0,0,40.0,1,1,1,1,0
697,450000,2,1.0,0.0,130,1954.0,1.0,0,0,0.0,0,0,0,1,1
700,890000,3,2.0,1.0,135,1910.0,2.0,1,0,27.0,1,0,1,1,1
710,450000,2,1.0,1.0,130,1954.0,1.0,0,0,0.0,1,0,1,1,1
715,1200000,4,2.0,0.0,162,1900.0,4.0,0,0,0.0,1,0,1,1,1
717,549000,4,2.0,0.0,126,1892.0,4.0,1,0,0.0,0,0,1,1,0
721,795000,3,2.0,0.0,120,1936.0,4.0,0,0,5.0,1,0,0,1,0
722,545000,3,2.0,0.0,101,1890.0,1.0,0,0,4.0,1,0,1,1,1
723,430000,3,2.0,0.0,101,1972.0,1.0,1,0,0.0,1,0,0,1,0
725,545000,3,2.0,0.0,101,1890.0,3.0,0,0,0.0,1,0,1,1,1
726,430000,3,2.0,0.0,101,1972.0,1.0,1,0,0.0,1,0,0,1,0
727,730000,5,1.0,1.0,165,1900.0,4.0,0,0,0.0,1,0,0,1,1
728,1390000,4,4.0,0.0,220,1900.0,5.0,1,0,80.0,1,0,1,1,0
729,450000,2,2.0,0.0,130,1954.0,1.0,0,0,0.0,1,0,1,1,1
731,340000,2,2.0,0.0,68,1900.0,1.0,0,0,0.0,1,0,1,0,1
736,492000,3,2.0,0.0,122,1850.0,2.0,0,0,0.0,1,0,1,1,1
746,1390000,2,2.0,0.0,85,2006.0,9.0,0,0,0.0,0,0,1,1,1
749,978000,8,2.0,0.0,241,1918.0,4.0,0,0,0.0,1,0,1,1,0
762,1900000,2,2.0,0.0,156,1986.0,2.0,0,0,26.0,1,0,0,1,0
764,949000,8,2.0,0.0,283,1945.0,3.0,0,0,0.0,0,0,0,1,0
766,430000,3,2.0,0.0,101,1972.0,1.0,0,0,0.0,1,0,1,1,0
772,640000,6,3.0,0.0,164,1900.0,4.0,0,0,0.0,1,0,0,1,1
778,965000,4,2.0,0.0,238,1900.0,4.0,0,0,66.0,0,0,0,1,1
781,935000,3,2.0,0.0,150,1994.0,6.0,1,0,0.0,1,1,1,1,1
783,450000,4,2.0,0.0,98,1981.0,7.0,1,0,4.0,1,1,1,1,0
786,368000,3,1.0,0.0,82,1963.0,2.0,1,0,0.0,1,0,0,1,0
787,682000,4,2.0,0.0,143,1900.0,3.0,0,0,7.0,0,0,0,1,1
791,730000,4,2.0,0.0,160,1900.0,4.0,0,0,6.0,0,0,0,1,1
798,450000,2,1.0,1.0,130,1954.0,1.0,0,0,0.0,1,0,1,1,1
800,390000,2,1.0,0.0,70,1900.0,2.0,0,0,0.0,1,0,0,1,1
806,895000,3,2.0,0.0,180,1986.0,4.0,0,0,0.0,1,0,1,1,1
830,990000,4,2.0,0.0,168,1925.0,2.0,0,0,0.0,1,0,1,1,0
834,708400,3,2.0,0.0,157,1900.0,3.0,0,0,6.0,0,0,0,1,1
843,245000,2,1.0,0.0,51,1930.0,1.0,0,0,0.0,0,0,0,1,1
847,545000,3,2.0,0.0,98,1925.0,4.0,0,0,0.0,0,0,0,1,0
854,1690000,5,4.0,0.0,190,1877.0,3.0,0,1,0.0,1,0,1,1,1
855,648600,4,2.0,0.0,145,1900.0,1.0,0,0,9.0,0,0,0,1,1
859,375000,3,2.0,0.0,85,1973.0,4.0,1,0,0.0,1,0,0,1,1
864,368000,2,1.0,0.0,82,1963.0,2.0,0,0,0.0,1,0,0,1,0
887,712000,3,2.0,0.0,155,1900.0,1.0,0,0,7.0,0,0,0,1,1
889,298000,3,1.0,0.0,78,1940.0,3.0,0,0,0.0,0,0,0,1,0
891,657800,4,2.0,0.0,162,1900.0,1.0,0,0,14.0,0,0,0,1,1
894,779000,3,2.0,0.0,136,1900.0,2.0,0,0,0.0,1,0,1,1,1
927,368000,3,1.0,0.0,82,1963.0,2.0,1,0,0.0,1,0,0,1,0
932,791200,5,2.0,0.0,175,1900.0,2.0,0,0,6.0,0,0,0,1,1
936,368000,3,1.0,0.0,82,1963.0,2.0,1,0,0.0,0,0,0,1,0
954,535000,2,1.0,0.0,100,1936.0,1.0,1,0,0.0,1,0,0,1,1
962,1150000,3,2.0,0.0,200,2020.0,4.0,0,0,68.0,1,0,1,1,0
965,1450000,3,2.0,3.0,215,1969.0,6.0,1,0,0.0,1,0,1,0,0
972,318000,2,1.0,0.0,69,1900.0,5.0,1,0,0.0,0,0,0,1,1
975,545000,3,2.0,0.0,95,1890.0,2.0,0,0,0.0,0,0,0,1,1
976,644000,4,2.0,0.0,143,1900.0,2.0,0,0,7.0,0,0,0,1,1
985,657800,4,2.0,0.0,163,1900.0,1.0,0,0,14.0,0,0,0,1,1
986,385000,3,1.0,0.0,95,1936.0,4.0,1,0,0.0,0,0,1,1,0
994,465000,4,2.0,0.0,100,1990.0,1.0,1,0,0.0,1,1,1,1,0
995,687000,4,2.0,0.0,183,1900.0,4.0,0,0,0.0,1,0,1,1,0
999,949000,6,2.0,1.0,283,1945.0,3.0,0,0,0.0,0,0,1,1,1
1017,550000,5,2.0,0.0,146,1890.0,3.0,0,0,11.0,0,0,0,1,1
1026,1150000,3,3.0,1.0,151,1890.0,4.0,0,1,0.0,1,0,1,1,1
1028,1700000,4,5.0,0.0,290,1998.0,7.0,0,0,0.0,1,0,1,1,0
1030,450000,2,1.0,1.0,130,1954.0,1.0,0,0,0.0,1,0,1,1,1
1039,368000,3,1.0,0.0,82,1963.0,2.0,1,0,0.0,0,0,0,1,0
1040,89800,2,1.0,0.0,46,1963.0,1.0,0,0,0.0,1,0,0,0,1
1044,450000,2,2.0,0.0,130,1954.0,1.0,0,0,0.0,1,0,1,1,1
1045,485000,4,2.0,0.0,130,1950.0,4.0,0,0,0.0,1,0,1,1,0
1046,485000,4,2.0,0.0,130,1950.0,4.0,0,0,0.0,1,0,1,1,0
1047,699000,3,2.0,0.0,105,1902.0,2.0,1,0,0.0,1,0,1,1,0
1051,360000,2,1.0,0.0,86,1911.0,1.0,1,0,4.0,0,0,0,1,0
1060,985000,3,2.0,0.0,130,2021.0,2.0,0,1,0.0,1,1,1,1,0
1065,495000,2,1.0,0.0,62,1910.0,4.0,0,0,0.0,1,0,1,1,0
1075,368000,2,1.0,0.0,82,1963.0,2.0,0,0,0.0,1,0,0,1,0
1078,600000,2,2.0,0.0,90,1993.0,5.0,1,0,0.0,1,0,1,1,0
1094,368000,2,1.0,0.0,82,1963.0,2.0,1,0,0.0,1,0,1,1,0
1096,368000,3,1.0,0.0,82,1963.0,2.0,0,0,0.0,1,0,0,1,0
1098,640000,5,3.0,0.0,163,1900.0,4.0,0,0,0.0,0,0,0,1,1
1099,368000,2,1.0,0.0,82,1963.0,2.0,1,0,0.0,1,0,0,1,0
1101,368000,2,1.0,0.0,82,1963.0,2.0,1,0,0.0,1,0,0,1,0
1108,450000,2,1.0,0.0,110,1954.0,1.0,0,0,0.0,1,0,1,1,1
1109,368000,3,1.0,0.0,82,1963.0,2.0,1,0,0.0,1,0,0,1,0
1111,590000,2,2.0,0.0,119,2019.0,2.0,0,0,0.0,0,0,1,1,0
1114,1490000,3,3.0,0.0,191,1900.0,4.0,1,0,0.0,1,0,1,1,1
1119,318000,2,1.0,0.0,69,1900.0,5.0,1,0,0.0,0,0,0,1,1
1130,368000,2,1.0,0.0,82,1963.0,2.0,0,0,0.0,1,0,0,1,0
1132,3500000,4,4.0,0.0,226,1910.0,7.0,0,0,0.0,1,0,1,1,0
1142,675000,2,2.0,0.0,149,2019.0,3.0,0,0,0.0,1,0,1,1,0
1146,390000,2,1.0,0.0,98,1900.0,4.0,0,0,7.0,1,0,0,1,1
1147,479000,5,2.0,0.0,120,1900.0,1.0,0,0,0.0,0,0,0,1,1
1159,163000,2,1.0,0.0,54,1960.0,3.0,0,0,0.0,0,0,0,0,0
1163,368000,2,1.0,0.0,70,1963.0,2.0,1,0,0.0,1,0,0,1,0
1166,682000,5,2.0,0.0,140,1900.0,4.0,0,0,6.0,0,0,0,1,0
1168,1490000,3,3.0,0.0,191,1900.0,4.0,1,1,0.0,1,1,1,1,1
1169,682000,5,1.0,0.0,144,1900.0,4.0,0,1,2.0,1,0,0,1,0
1195,700000,4,2.0,0.0,166,1900.0,1.0,0,0,30.0,1,0,1,1,1
1201,720000,3,2.0,0.0,121,1983.0,6.0,1,0,23.0,1,0,0,1,0
1209,340000,4,1.0,1.0,94,1970.0,4.0,1,0,8.0,1,0,1,1,0
1222,445000,3,1.0,0.0,109,1890.0,4.0,0,0,0.0,0,0,0,1,1
1223,1300000,6,2.0,0.0,215,1900.0,1.0,1,0,0.0,1,0,0,1,1
